date,sku,product,category,units_sold,unit_price,unit_cost,revenue,cogs,gross_margin,gross_margin_pct
2026-03-18,HOO-302,Crewneck sweatshirt,Hoodies,17,159.0,60.0,2703.0,1020.0,1683.0,62.26
2026-03-18,JKT-401,Transitional parka,Jackets,6,399.0,175.0,2394.0,1050.0,1344.0,56.14
2026-03-18,JKT-402,Denim jacket,Jackets,8,259.0,105.0,2072.0,840.0,1232.0,59.46
2026-03-18,ACC-501,Beanie hat,Accessories,34,49.0,14.0,1666.0,476.0,1190.0,71.43
2026-03-19,TSH-001,Basic cotton tee,T-shirts,39,59.0,19.0,2301.0,741.0,1560.0,67.8
2026-03-19,TSH-002,Premium oversize tee,T-shirts,25,89.0,31.0,2225.0,775.0,1450.0,65.17
2026-03-19,SHI-101,Linen slim shirt,Shirts,21,159.0,62.0,3339.0,1302.0,2037.0,61.01
2026-03-19,SHI-102,Flannel check shirt,Shirts,15,139.0,54.0,2085.0,810.0,1275.0,61.15
2026-03-19,TRO-201,Chino trousers,Trousers,21,179.0,70.0,3759.0,1470.0,2289.0,60.89
2026-03-19,TRO-202,Regular jeans,Trousers,27,199.0,82.0,5373.0,2214.0,3159.0,58.79
2026-03-19,TRO-203,Jogger sweatpants,Trousers,30,119.0,40.0,3570.0,1200.0,2370.0,66.39
2026-03-19,HOO-301,Hooded sweatshirt,Hoodies,17,189.0,72.0,3213.0,1224.0,1989.0,61.9
2026-03-19,HOO-302,Crewneck sweatshirt,Hoodies,13,159.0,60.0,2067.0,780.0,1287.0,62.26
2026-03-19,JKT-401,Transitional parka,Jackets,8,399.0,175.0,3192.0,1400.0,1792.0,56.14
2026-03-19,JKT-402,Denim jacket,Jackets,9,259.0,105.0,2331.0,945.0,1386.0,59.46
2026-03-19,ACC-501,Beanie hat,Accessories,34,49.0,14.0,1666.0,476.0,1190.0,71.43
2026-03-20,TSH-001,Basic cotton tee,T-shirts,55,59.0,19.0,3245.0,1045.0,2200.0,67.8
2026-03-20,TSH-002,Premium oversize tee,T-shirts,36,89.0,31.0,3204.0,1116.0,2088.0,65.17
2026-03-20,SHI-101,Linen slim shirt,Shirts,24,159.0,62.0,3816.0,1488.0,2328.0,61.01
2026-03-20,SHI-102,Flannel check shirt,Shirts,14,139.0,54.0,1946.0,756.0,1190.0,61.15
2026-03-20,TRO-201,Chino trousers,Trousers,24,179.0,70.0,4296.0,1680.0,2616.0,60.89
2026-03-20,TRO-202,Regular jeans,Trousers,26,199.0,82.0,5174.0,2132.0,3042.0,58.79
2026-03-20,TRO-203,Jogger sweatpants,Trousers,36,119.0,40.0,4284.0,1440.0,2844.0,66.39
2026-03-20,HOO-301,Hooded sweatshirt,Hoodies,20,189.0,72.0,3780.0,1440.0,2340.0,61.9
2026-03-20,HOO-302,Crewneck sweatshirt,Hoodies,16,159.0,60.0,2544.0,960.0,1584.0,62.26
2026-03-20,JKT-401,Transitional parka,Jackets,9,399.0,175.0,3591.0,1575.0,2016.0,56.14
2026-03-20,JKT-402,Denim jacket,Jackets,11,259.0,105.0,2849.0,1155.0,1694.0,59.46
2026-03-20,ACC-501,Beanie hat,Accessories,36,49.0,14.0,1764.0,504.0,1260.0,71.43
2026-03-21,TSH-001,Basic cotton tee,T-shirts,54,59.0,19.0,3186.0,1026.0,2160.0,67.8
2026-03-21,TSH-002,Premium oversize tee,T-shirts,47,89.0,31.0,4183.0,1457.0,2726.0,65.17
2026-03-21,SHI-101,Linen slim shirt,Shirts,23,159.0,62.0,3657.0,1426.0,2231.0,61.01
2026-03-21,SHI-102,Flannel check shirt,Shirts,23,139.0,54.0,3197.0,1242.0,1955.0,61.15
2026-03-21,TRO-201,Chino trousers,Trousers,30,179.0,70.0,5370.0,2100.0,3270.0,60.89
2026-03-21,TRO-202,Regular jeans,Trousers,27,199.0,82.0,5373.0,2214.0,3159.0,58.79
2026-03-21,TRO-203,Jogger sweatpants,Trousers,45,119.0,40.0,5355.0,1800.0,3555.0,66.39
2026-03-21,HOO-301,Hooded sweatshirt,Hoodies,30,189.0,72.0,5670.0,2160.0,3510.0,61.9
2026-03-21,HOO-302,Crewneck sweatshirt,Hoodies,25,159.0,60.0,3975.0,1500.0,2475.0,62.26
2026-03-21,JKT-401,Transitional parka,Jackets,12,399.0,175.0,4788.0,2100.0,2688.0,56.14
2026-03-21,JKT-402,Denim jacket,Jackets,15,259.0,105.0,3885.0,1575.0,2310.0,59.46
2026-03-21,ACC-501,Beanie hat,Accessories,40,49.0,14.0,1960.0,560.0,1400.0,71.43
2026-03-22,TSH-001,Basic cotton tee,T-shirts,57,59.0,19.0,3363.0,1083.0,2280.0,67.8
2026-03-22,TSH-002,Premium oversize tee,T-shirts,34,89.0,31.0,3026.0,1054.0,1972.0,65.17
2026-03-22,SHI-101,Linen slim shirt,Shirts,22,159.0,62.0,3498.0,1364.0,2134.0,61.01
2026-03-22,SHI-102,Flannel check shirt,Shirts,16,139.0,54.0,2224.0,864.0,1360.0,61.15
2026-03-22,TRO-201,Chino trousers,Trousers,27,179.0,70.0,4833.0,1890.0,2943.0,60.89
2026-03-22,TRO-202,Regular jeans,Trousers,38,199.0,82.0,7562.0,3116.0,4446.0,58.79
2026-03-22,TRO-203,Jogger sweatpants,Trousers,33,119.0,40.0,3927.0,1320.0,2607.0,66.39
2026-03-22,HOO-301,Hooded sweatshirt,Hoodies,29,189.0,72.0,5481.0,2088.0,3393.0,61.9
2026-03-22,HOO-302,Crewneck sweatshirt,Hoodies,20,159.0,60.0,3180.0,1200.0,1980.0,62.26
2026-03-22,JKT-401,Transitional parka,Jackets,10,399.0,175.0,3990.0,1750.0,2240.0,56.14
2026-03-22,JKT-402,Denim jacket,Jackets,15,259.0,105.0,3885.0,1575.0,2310.0,59.46
2026-03-22,ACC-501,Beanie hat,Accessories,54,49.0,14.0,2646.0,756.0,1890.0,71.43
2026-03-23,TSH-001,Basic cotton tee,T-shirts,54,59.0,19.0,3186.0,1026.0,2160.0,67.8
2026-03-23,TSH-002,Premium oversize tee,T-shirts,39,89.0,31.0,3471.0,1209.0,2262.0,65.17
2026-03-23,SHI-101,Linen slim shirt,Shirts,18,159.0,62.0,2862.0,1116.0,1746.0,61.01
2026-03-23,SHI-102,Flannel check shirt,Shirts,16,139.0,54.0,2224.0,864.0,1360.0,61.15
2026-03-23,TRO-201,Chino trousers,Trousers,31,179.0,70.0,5549.0,2170.0,3379.0,60.89
2026-03-23,TRO-202,Regular jeans,Trousers,30,199.0,82.0,5970.0,2460.0,3510.0,58.79
2026-03-23,TRO-203,Jogger sweatpants,Trousers,34,119.0,40.0,4046.0,1360.0,2686.0,66.39
2026-03-23,HOO-301,Hooded sweatshirt,Hoodies,26,189.0,72.0,4914.0,1872.0,3042.0,61.9
2026-03-23,HOO-302,Crewneck sweatshirt,Hoodies,16,159.0,60.0,2544.0,960.0,1584.0,62.26
2026-03-23,JKT-401,Transitional parka,Jackets,10,399.0,175.0,3990.0,1750.0,2240.0,56.14
2026-03-23,JKT-402,Denim jacket,Jackets,12,259.0,105.0,3108.0,1260.0,1848.0,59.46
2026-03-23,ACC-501,Beanie hat,Accessories,47,49.0,14.0,2303.0,658.0,1645.0,71.43
2026-03-24,TSH-001,Basic cotton tee,T-shirts,38,59.0,19.0,2242.0,722.0,1520.0,67.8
2026-03-24,TSH-002,Premium oversize tee,T-shirts,35,89.0,31.0,3115.0,1085.0,2030.0,65.17
2026-03-24,SHI-101,Linen slim shirt,Shirts,15,159.0,62.0,2385.0,930.0,1455.0,61.01
2026-03-24,SHI-102,Flannel check shirt,Shirts,13,139.0,54.0,1807.0,702.0,1105.0,61.15
2026-03-24,TRO-201,Chino trousers,Trousers,22,179.0,70.0,3938.0,1540.0,2398.0,60.89
2026-03-24,TRO-202,Regular jeans,Trousers,26,199.0,82.0,5174.0,2132.0,3042.0,58.79
2026-03-24,TRO-203,Jogger sweatpants,Trousers,24,119.0,40.0,2856.0,960.0,1896.0,66.39
2026-03-24,HOO-301,Hooded sweatshirt,Hoodies,17,189.0,72.0,3213.0,1224.0,1989.0,61.9
2026-03-24,HOO-302,Crewneck sweatshirt,Hoodies,18,159.0,60.0,2862.0,1080.0,1782.0,62.26
2026-03-24,JKT-401,Transitional parka,Jackets,7,399.0,175.0,2793.0,1225.0,1568.0,56.14
2026-03-24,JKT-402,Denim jacket,Jackets,10,259.0,105.0,2590.0,1050.0,1540.0,59.46
2026-03-24,ACC-501,Beanie hat,Accessories,36,49.0,14.0,1764.0,504.0,1260.0,71.43
2026-03-25,TSH-001,Basic cotton tee,T-shirts,40,59.0,19.0,2360.0,760.0,1600.0,67.8
2026-03-25,TSH-002,Premium oversize tee,T-shirts,29,89.0,31.0,2581.0,899.0,1682.0,65.17
2026-03-25,SHI-101,Linen slim shirt,Shirts,17,159.0,62.0,2703.0,1054.0,1649.0,61.01
2026-03-25,SHI-102,Flannel check shirt,Shirts,16,139.0,54.0,2224.0,864.0,1360.0,61.15
2026-03-25,TRO-201,Chino trousers,Trousers,18,179.0,70.0,3222.0,1260.0,1962.0,60.89
2026-03-25,TRO-202,Regular jeans,Trousers,25,199.0,82.0,4975.0,2050.0,2925.0,58.79
2026-03-25,TRO-203,Jogger sweatpants,Trousers,23,119.0,40.0,2737.0,920.0,1817.0,66.39
2026-03-25,HOO-301,Hooded sweatshirt,Hoodies,18,189.0,72.0,3402.0,1296.0,2106.0,61.9
2026-03-25,HOO-302,Crewneck sweatshirt,Hoodies,16,159.0,60.0,2544.0,960.0,1584.0,62.26
